City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,santa ana,33.7456,-117.8678,23.48,38,75,1.54,US,1702313269
146,tura,25.5198,90.2201,15.59,85,0,1.47,IN,1702313445
147,vangaindrano,-23.35,47.6,25.31,90,94,3.06,MG,1702313445
148,murashi,59.3999,48.9615,-17.98,85,100,5.84,RU,1702313445
149,invercargill,-46.4,168.35,7.85,80,66,8.32,NZ,1702313445
150,st. john's,47.5649,-52.7093,10.64,95,100,9.77,CA,1702313252
151,dno,57.8277,29.9637,-1.92,94,100,4.34,RU,1702313445
152,hamilton,39.1834,-84.5333,2.26,75,100,3.6,US,1702313189
153,nuuk,64.1835,-51.7216,2.34,69,100,23.15,GL,1702313434
154,yung shue wan,22.2333,114.1167,24.62,85,9,0.07,HK,1702313445
155,ash shatrah,31.4117,46.1742,22.22,26,56,1.06,IQ,1702313446
156,polyarnyy,69.1989,33.4478,-12.57,89,89,6.98,RU,1702313446
157,at taj,24.2049,23.2857,14.75,60,1,4.71,LY,1702313446
158,puerto baquerizo moreno,-0.9,-89.6,26.55,78,75,5.14,EC,1702313446
159,huilong,31.8111,121.655,6.93,79,100,7.94,CN,1702313446
160,kokstad,-30.5472,29.4241,15.4,96,100,1.13,ZA,1702313446
161,madang,-5.2246,145.7966,25.23,93,95,1.04,PG,1702313446
162,iskateley,67.6803,53.1512,-16.66,94,100,9.39,RU,1702313446
163,karratha,-20.7377,116.8463,25.74,45,0,4.35,AU,1702313447
164,pangai,-19.8,-174.35,25.15,64,0,5.77,TO,1702313447
165,wailua homesteads,22.0669,-159.378,23.75,91,100,5.14,US,1702313447
166,bontang,0.1333,117.5,24.88,92,48,2.1,ID,1702313447
167,vernon,50.2581,-119.2691,2.09,94,94,1.03,CA,1702313283
168,sonipat,28.9833,77.0167,14.0,24,0,1.65,IN,1702313241
169,westport,41.1415,-73.3579,7.27,83,100,6.69,US,1702313447
170,college,64.8569,-147.8028,-8.03,73,75,2.06,US,1702313344
171,san juan,-31.5375,-68.5364,36.18,19,0,3.29,AR,1702313447
172,mokhsogollokh,61.4681,128.9203,-27.65,91,100,4.18,RU,1702313448
173,zaltan,32.947,11.8665,17.43,54,0,1.8,LY,1702313448
174,la'ie,21.6477,-157.9253,24.66,87,33,0.89,US,1702313448
175,palasa,18.7667,84.4167,20.13,70,5,1.68,IN,1702313448
176,papar,5.7333,115.9333,26.0,89,60,1.5,MY,1702313448
177,port mathurin,-19.6833,63.4167,26.46,73,100,3.07,MU,1702313448
